SP500,Gas,Nasdaq
2020.58,2.96,4652.57
2002.61,2.9,4592.74
2025.9,2.92,4650.47
2062.14,3.15,4736.19
2044.81,3.32,4704.07
2028.26,3.11,4664.71
2023.03,2.94,4661.5
2011.27,2.94,4639.32
1992.67,2.95,4570.82
2019.42,2.96,4634.38
.,2.92,.
2022.55,2.96,4654.85
2032.12,2.89,4667.42
2063.15,2.88,4750.4
2051.82,2.88,4757.88
2057.09,2.88,4771.76
2029.55,2.67,4681.5
2002.16,2.73,4637.99
2021.25,2.66,4683.41
1994.99,2.66,4635.24
2020.85,2.62,4676.69
2050.03,2.67,4727.74
2041.51,2.86,4716.7
2062.52,2.86,4765.1
2055.47,2.75,4744.4
2046.74,2.75,4726.01
2068.59,2.92,4787.64
2068.53,2.92,4801.18
2088.48,3.02,4857.61
2096.99,3.22,4893.84
.,3.22,.
2100.34,3.21,4899.27
2099.68,3.21,4906.36
2097.45,2.79,4924.7
2110.3,2.79,4955.97
2109.66,3,4960.97
2115.48,3.27,4968.12
2113.86,3.27,4967.14
2110.74,2.89,4987.89
2104.5,2.75,4963.53
2117.39,2.76,5008.1
2107.78,2.76,4979.9
2098.53,2.82,4967.14
2101.04,2.72,4982.81
2071.26,2.68,4927.37
2079.43,2.82,4942.44
2044.16,2.8,4859.79
2040.24,2.86,4849.94
2065.95,2.86,4893.29
2053.4,2.72,4871.76
2081.19,2.79,4929.51
2074.28,2.77,4937.43
2099.5,2.77,4982.83
2089.27,2.89,4992.38
2108.1,2.64,5026.42
2104.42,2.65,5010.97
2091.5,2.62,4994.73
2061.05,2.63,4876.52
2056.15,2.63,4863.36
2061.02,2.71,4891.22
2086.24,2.71,4947.44
2067.89,2.72,4900.89
2059.69,2.58,4880.23
2066.96,2.58,4886.94
.,2.58,.
2080.62,2.62,4917.32
2076.33,2.61,4910.23
2081.9,2.67,4950.82
2091.18,2.57,4974.56
2102.06,2.59,4995.98
2092.43,2.63,4988.25
2095.84,2.59,4977.29
2106.63,2.59,5011.02
2104.99,2.5,5007.79
2081.18,2.55,4931.81
2100.4,2.55,4994.6
2097.29,2.56,5014.1
2107.96,2.68,5035.17
2112.93,2.72,5056.06
2117.69,2.76,5092.08
2108.92,2.76,5060.25
2114.76,2.74,5055.42
2106.85,2.78,5023.64
2085.51,2.85,4941.42
2108.29,2.85,5005.39
2114.49,2.85,5016.93
2089.46,2.87,4939.33
