date,close,volume,open,high,low
12/14/2017,17.64,48481920,17.77,17.82,17.64
12/13/2017,17.76,42092420,17.92,17.99,17.76
12/12/2017,17.91,66812330,17.66,18.04,17.65
12/11/2017,17.65,58093310,17.72,17.79,17.53
12/8/2017,17.71,54426450,17.74,17.82,17.66
12/7/2017,17.71,55550810,17.66,18.06,17.63
12/6/2017,17.66,43843930,17.75,17.84,17.6
12/5/2017,17.76,65781780,17.98,18.01,17.67
12/4/2017,17.95,68325390,18,18.06,17.88
12/1/2017,17.88,81962800,18.28,18.28,17.86
11/30/2017,18.29,67994540,18.56,18.59,18.18
11/29/2017,18.48,55094350,18.45,18.54,18.31
11/28/2017,18.41,56030510,18.17,18.44,18.06
11/27/2017,18.12,78820970,18.34,18.5,18.09
11/24/2017,18.19,24897700,18.38,18.38,18.15
11/22/2017,18.15,54772450,17.87,18.25,17.84
11/21/2017,17.83,77650000,17.95,18.07,17.7
11/20/2017,17.98,63902370,18.13,18.13,17.83
11/17/2017,18.21,60390240,18.34,18.47,18.21
11/16/2017,18.25,89350500,18.48,18.48,18.05
11/15/2017,18.26,144333800,17.51,18.38,17.5
11/14/2017,17.9,312385500,18.79,18.88,17.46
11/13/2017,19.02,261323900,20.26,20.75,18.7501
11/10/2017,20.49,100663600,19.98,20.68,19.9
11/9/2017,19.99,50831060,20.04,20.071,19.85
11/8/2017,20.12,39670390,20.21,20.32,20.07
11/7/2017,20.21,41621750,20.17,20.25,20.12
11/6/2017,20.13,60552010,20.52,20.53,20.08
11/3/2017,20.14,67788340,19.92,20.33,19.86
11/2/2017,19.94,81496210,20.05,20.075,19.63
11/1/2017,20.02,91273880,20.07,20.52,19.96
10/31/2017,20.16,97936560,20.26,20.4,20.05
10/30/2017,20.41,98373640,20.62,20.72,20.26
10/27/2017,20.79,98467480,21.26,21.3,20.64
10/26/2017,21.32,85583700,21.57,21.65,21.2
10/25/2017,21.5,110406700,21.84,21.89,21.3
10/24/2017,21.89,133200500,22.12,22.31,21.75
10/23/2017,22.32,187249500,23.44,23.44,22.18
10/20/2017,23.83,192105700,22.14,23.84,22.1
10/19/2017,23.58,75230440,23.14,23.78,23.05
10/18/2017,23.12,34921940,23.2,23.28,23.07
10/17/2017,23.19,58154510,23.22,23.25,23
10/16/2017,23.36,49720630,22.99,23.48,22.93
10/13/2017,22.98,40358970,23.15,23.23,22.96
10/12/2017,23.05,60364840,23.05,23.09,22.83
10/11/2017,23.07,81158250,23.13,23.27,22.9
10/10/2017,23.36,80976290,23.7,23.8553,23.32
10/9/2017,23.43,140226200,24.1,24.15,23.25
10/6/2017,24.39,40639560,24.41,24.54,24.13
10/5/2017,24.54,34717630,24.39,24.57,24.15
10/4/2017,24.48,32110390,24.88,24.89,24.43
10/3/2017,24.8,33882720,24.61,24.83,24.33
10/2/2017,24.57,42417420,24.22,24.61,24.1
9/29/2017,24.18,33568410,24.22,24.29,24.01
9/28/2017,24.24,36149150,24.39,24.45,24.16
9/27/2017,24.37,56381500,25,25.05,24.28
9/26/2017,24.93,38554610,25.15,25.21,24.92
9/25/2017,25.11,42481340,24.92,25.18,24.851
9/22/2017,24.87,39710710,24.84,25.0399,24.77
9/21/2017,24.75,52059550,24.33,24.84,24.17
9/20/2017,24.32,39733330,24.2,24.41,24.19
9/19/2017,24.2,45321370,24.46,24.47,24.015
9/18/2017,24.46,52465500,23.96,24.55,23.93
9/15/2017,23.93,66538390,24.1,24.17,23.75
9/14/2017,24.26,42060180,24.1,24.27,23.94
9/13/2017,24.11,38557870,23.93,24.18,23.92
9/12/2017,23.91,49590410,23.82,23.91,23.71
