date,close,volume,open,high,low
12/14/2017,87.2,19337040,87.34,87.4,87.07
12/13/2017,87.38,7494952,87.37,87.45,87.33
12/12/2017,87.33,8846770,87.45,87.45,87.32
12/11/2017,87.37,11848240,87.35,87.39,87.29
12/8/2017,87.35,9100415,87.32,87.37,87.27
12/7/2017,87.26,8955923,87.26,87.31,87.172
12/6/2017,87.22,10081730,87.25,87.41,87.202
12/5/2017,87.3,9347645,87.4,87.45,87.28
12/4/2017,87.35,14801750,87.5,87.61,87.32
12/1/2017,87.38,15485800,87.42,87.5,86.98
11/30/2017,87.78,17981510,87.79,87.95,87.78
11/29/2017,87.76,11806230,87.82,87.88,87.675
11/28/2017,87.87,10403690,87.64,87.89,87.625
11/27/2017,87.6,10645380,87.87,87.87,87.54
11/24/2017,87.87,3126527,87.87,87.92,87.83
11/22/2017,87.81,9473834,87.72,87.87,87.7
11/21/2017,87.67,10102420,87.57,87.71,87.57
11/20/2017,87.49,8930342,87.52,87.63,87.43
11/17/2017,87.47,15942050,87.36,87.51,87.34
11/16/2017,87.53,30075170,87.12,87.6,87.04
11/15/2017,86.68,25814030,86.46,86.76,86.22
11/14/2017,86.68,13867310,86.92,86.96,86.62
11/13/2017,87.05,16280380,87.04,87.16,87.03
11/10/2017,87.11,24521640,86.94,87.18,86.88
11/9/2017,86.92,38343500,87.14,87.14,86.72
11/8/2017,87.35,18119960,87.74,87.74,87.31
11/7/2017,87.74,11805430,87.97,87.98,87.71
11/6/2017,87.99,12262360,87.93,88.04,87.89
11/3/2017,87.98,7003176,88.02,88.08,87.87
11/2/2017,87.97,6096843,88.01,88.08,87.895
11/1/2017,88.02,9505454,88.18,88.2,88.01
10/31/2017,88.47,7198363,88.49,88.51,88.44
10/30/2017,88.45,5954500,88.41,88.51,88.36
10/27/2017,88.47,13719970,88.3,88.49,88.225
10/26/2017,88.23,10955120,88.43,88.46,88.19
10/25/2017,88.34,16817020,88.53,88.53,88.22
10/24/2017,88.59,7103739,88.62,88.69,88.58
10/23/2017,88.59,7227164,88.7,88.74,88.59
10/20/2017,88.69,7107034,88.66,88.73,88.61
10/19/2017,88.61,7270641,88.48,88.65,88.44
10/18/2017,88.6,7974437,88.54,88.65,88.52
10/17/2017,88.51,7468169,88.38,88.555,88.38
10/16/2017,88.38,6060263,88.39,88.4,88.28
10/13/2017,88.33,3941233,88.41,88.43,88.28
10/12/2017,88.29,6181140,88.4,88.4,88.29
10/11/2017,88.39,7948704,88.48,88.48,88.37
10/10/2017,88.48,8786478,88.53,88.53,88.4
10/9/2017,88.41,3278424,88.44,88.47,88.38
10/6/2017,88.4,5847373,88.45,88.49,88.35
10/5/2017,88.53,5967924,88.41,88.53,88.41
10/4/2017,88.42,5832397,88.48,88.51,88.37
10/3/2017,88.51,5928796,88.35,88.52,88.35
10/2/2017,88.35,13097340,88.26,88.4,88.24
9/29/2017,88.76,8903904,88.7,88.76,88.6
9/28/2017,88.63,5933980,88.63,88.67,88.575
9/27/2017,88.63,7457066,88.59,88.655,88.49
9/26/2017,88.59,8816461,88.56,88.68,88.54
9/25/2017,88.48,4326061,88.4,88.5,88.36
9/22/2017,88.43,7570548,88.33,88.43,88.3
9/21/2017,88.34,6932279,88.48,88.49,88.315
9/20/2017,88.45,10087260,88.48,88.53,88.32
9/19/2017,88.46,7208255,88.4,88.47,88.3201
9/18/2017,88.37,7442169,88.38,88.42,88.32
9/15/2017,88.41,8247993,88.28,88.43,88.24
9/14/2017,88.33,9554556,88.17,88.37,88.16
9/13/2017,88.21,11725950,88.1,88.225,88.0535
9/12/2017,88.18,4752822,88.11,88.19,88.05
9/11/2017,88.07,8047595,87.94,88.19,87.85
9/8/2017,87.79,7688673,88.06,88.06,87.79
9/7/2017,88.07,8784020,88.2,88.2,88.06
9/6/2017,88.06,9023303,88.23,88.28,88.04
9/5/2017,88.12,9560449,88.26,88.26,87.96
9/1/2017,88.32,10535660,88.15,88.35,88.15
8/31/2017,88.6,12705170,88.42,88.61,88.4167
8/30/2017,88.36,13431110,88.15,88.4,88.14
8/29/2017,88.12,8991645,88.01,88.15,87.985
8/28/2017,88.23,5161655,88.27,88.27,88.14
8/25/2017,88.22,6622822,88.04,88.25,88.01
8/24/2017,88.06,8480125,87.97,88.07,87.88
8/23/2017,87.93,6449680,87.77,87.965,87.71
8/22/2017,87.92,12982110,87.64,88,87.59
8/21/2017,87.56,7763442,87.58,87.61,87.45
8/18/2017,87.47,14324300,87.49,87.69,87.29
8/17/2017,87.34,14112330,87.72,87.8,87.29
8/16/2017,87.83,11716100,87.89,87.97,87.8
8/15/2017,87.82,6830122,87.8,87.89,87.73
8/14/2017,87.79,12566040,87.59,87.94,87.59
8/11/2017,87.33,17322040,87.37,87.46,87.255
8/10/2017,87.18,24735040,87.56,87.6399,87.11
8/9/2017,87.74,15331250,87.9,87.98,87.68
8/8/2017,88.08,18771480,88.42,88.5,87.99
8/7/2017,88.46,5204632,88.5,88.5,88.4
8/4/2017,88.5,6451631,88.48,88.52,88.41
8/3/2017,88.48,9548318,88.57,88.66,88.42
8/2/2017,88.65,7422694,88.63,88.72,88.59
8/1/2017,88.63,14956920,88.61,88.68,88.57
7/31/2017,88.91,9779891,88.8,88.99,88.79
7/28/2017,88.91,4943007,88.85,88.91,88.77
7/27/2017,88.9,11624530,88.96,89,88.805
7/26/2017,88.97,7279763,88.97,89.04,88.86
7/25/2017,88.84,7292857,88.87,88.91,88.79
7/24/2017,88.8,4707504,88.71,88.8,88.65
7/21/2017,88.73,8955796,88.78,88.79,88.65
7/20/2017,88.8,11827790,88.84,88.85,88.67
7/19/2017,88.75,8250879,88.69,88.8337,88.63
7/18/2017,88.6,9221143,88.54,88.64,88.47
7/17/2017,88.56,9658099,88.55,88.59,88.48
7/14/2017,88.53,12626750,88.34,88.57,88.25
7/13/2017,88.28,11744610,88.22,88.32,88.125
7/12/2017,88.21,17979940,87.99,88.21,87.87
7/11/2017,87.64,9261434,87.7,87.72,87.52
7/10/2017,87.7,12286650,87.67,87.74,87.57
7/7/2017,87.6,15731240,87.61,87.71,87.45
7/6/2017,87.68,15867260,87.87,87.89,87.54
7/5/2017,87.9,16269090,88.03,88.11,87.8401
7/3/2017,87.97,13882030,88.13,88.25,87.88
6/30/2017,88.39,8176967,88.3,88.48,88.21
6/29/2017,88.18,14481390,88.26,88.39,88.06
6/28/2017,88.4,9755489,88.21,88.44,88.11
6/27/2017,88.04,15293260,88.32,88.34,87.98
6/26/2017,88.32,9504532,88.18,88.355,88.15
6/23/2017,88.2,11337690,87.88,88.22,87.87
6/22/2017,87.84,18699390,87.69,87.88,87.63
6/21/2017,87.6,26716690,88.12,88.16,87.52
6/20/2017,88.11,18318540,88.15,88.22,88.1
6/19/2017,88.42,6398396,88.32,88.45,88.29
6/16/2017,88.15,11982670,88.38,88.38,88.13
6/15/2017,88.3,10860510,88.42,88.45,88.12
6/14/2017,88.64,8850694,88.74,88.745,88.52
6/13/2017,88.63,8640381,88.51,88.64,88.5
6/12/2017,88.47,9900029,88.35,88.54,88.29
6/9/2017,88.32,10414860,88.34,88.45,88.2
6/8/2017,88.25,14208260,88.2,88.34,88.03
6/7/2017,88.18,13329000,88.44,88.44,88.07
6/6/2017,88.36,14386510,88.48,88.51,88.31
6/5/2017,88.5,10384390,88.55,88.64,88.46
6/2/2017,88.58,9491543,88.55,88.66,88.5
6/1/2017,88.53,19189310,88.36,88.6,88.2857
5/31/2017,88.65,13758360,88.67,88.7,88.53
5/30/2017,88.66,5371116,88.56,88.7,88.52
5/26/2017,88.57,2909501,88.5,88.59,88.5
5/25/2017,88.52,7985459,88.59,88.745,88.49
5/24/2017,88.59,8533664,88.5,88.61,88.4
5/23/2017,88.44,6998424,88.49,88.49,88.35
5/22/2017,88.45,7181805,88.36,88.45,88.27
5/19/2017,88.18,15998810,88.17,88.31,88.13
5/18/2017,88.02,10731840,87.66,88.16,87.631
5/17/2017,87.92,14055660,88.02,88.1,87.87
5/16/2017,88.31,12638860,88.27,88.35,88.18
5/15/2017,88.18,10690180,88.12,88.25,88.11
5/12/2017,87.98,8929918,88.06,88.07,87.91
5/11/2017,88.01,8461237,87.94,88.04,87.83
5/10/2017,88,10824910,87.85,88.04,87.725
5/9/2017,87.62,10809910,87.8,87.85,87.61
5/8/2017,87.68,8199164,87.61,87.73,87.54
5/5/2017,87.58,14935210,87.64,87.66,87.38
5/4/2017,87.43,20562480,87.84,87.84,87.35
5/3/2017,87.9,7413478,87.89,87.945,87.8
5/2/2017,87.82,10757500,87.89,87.9,87.7601
5/1/2017,87.79,10335870,87.75,87.85,87.7
4/28/2017,88.12,7542839,88.16,88.24,88.07
4/27/2017,88.15,6897880,88.09,88.16,88.01
4/26/2017,88.09,7268976,88.09,88.23,88.07
4/25/2017,88.17,12493450,88.07,88.2,88.03
4/24/2017,88.01,8904681,87.96,88.02,87.88
4/21/2017,87.6,11328250,87.64,87.71,87.49
4/20/2017,87.67,7765997,87.48,87.69,87.44
4/19/2017,87.38,8643171,87.51,87.7,87.33
4/18/2017,87.46,9062784,87.47,87.56,87.23
4/17/2017,87.48,7158744,87.33,87.5,87.23
4/13/2017,87.22,10446680,87.37,87.485,87.16
4/12/2017,87.4,8723769,87.4,87.6,87.32
4/11/2017,87.34,8005849,87.57,87.57,87.24
4/10/2017,87.51,7996907,87.53,87.62,87.45
4/7/2017,87.39,5457822,87.55,87.62,87.39
4/6/2017,87.43,7234511,87.4,87.52,87.295
4/5/2017,87.32,11102290,87.53,87.71,87.27
4/4/2017,87.39,8473882,87.37,87.49,87.29
4/3/2017,87.36,20664410,87.46,87.47,87.23
3/31/2017,87.78,11354450,87.73,87.9,87.685
3/30/2017,87.81,16176290,87.6,87.83,87.47
3/29/2017,87.4,12266300,87.28,87.55,87.22
3/28/2017,87.22,16644420,86.7,87.25,86.7
3/27/2017,86.74,7788653,86.52,86.78,86.4
3/24/2017,86.83,8920814,86.6,86.86,86.6
3/23/2017,86.53,10618850,86.43,86.7525,86.365
3/22/2017,86.5,13953070,86.24,86.57,86.02
3/21/2017,86.29,16915670,87.08,87.1699,86.28
3/20/2017,87.0034,12220550,87.07,87.07,86.91
3/17/2017,87.08,9980203,87.25,87.25,87.04
3/16/2017,87.05,15807610,87.5,87.53,87.03
3/15/2017,87.3,19654050,86.4,87.3,86.32
3/14/2017,86.11,12808510,86.12,86.21,85.99
3/13/2017,86.37,13507330,86.38,86.48,86.12
3/10/2017,86.3,20643900,86.88,86.88,86.08
3/9/2017,86.33,20863050,86.38,86.72,86.2
3/8/2017,86.56,22226810,86.93,87.07,86.55
3/7/2017,87.14,16847840,87.53,87.6,87.12
3/6/2017,87.71,16995740,87.85,87.89,87.69
3/3/2017,87.99,15059270,88.02,88.09,87.815
3/2/2017,87.95,9192988,88.25,88.25,87.95
3/1/2017,88.23,10556730,88.18,88.31,88.18
2/28/2017,88.29,5862410,88.3,88.37,88.24
2/27/2017,88.36,5650767,88.25,88.36,88.19
2/24/2017,88.25,8390174,88.11,88.365,88.06
2/23/2017,88.18,8150235,88.29,88.3,88.08
2/22/2017,88.1,10963610,88.01,88.12,87.935
2/21/2017,88.06,10159080,87.83,88.06,87.79
2/17/2017,87.77,6194009,87.59,87.79,87.51
2/16/2017,87.68,8656683,87.66,88.08,87.51
2/15/2017,87.75,10582850,87.63,87.77,87.57
2/14/2017,87.72,8785033,87.67,87.76,87.47
2/13/2017,87.66,7477229,87.6,87.72,87.59
2/10/2017,87.53,5471840,87.52,87.5499,87.4
2/9/2017,87.47,7292625,87.43,87.54,87.38
2/8/2017,87.35,11104440,87.32,87.3599,87.12
2/7/2017,87.29,11170070,87.52,87.52,87.28
2/6/2017,87.42,7004913,87.5,87.53,87.35
2/3/2017,87.48,12674010,87.52,87.58,87.43
2/2/2017,87.33,10885950,87.27,87.37,87.14
2/1/2017,87.28,12488700,87.2,87.33,86.9475
1/31/2017,87.34,12243410,87.39,87.4191,87.18
1/30/2017,87.43,6952643,87.48,87.54,87.31
1/27/2017,87.61,7888096,87.46,87.69,87.45
1/26/2017,87.53,7475934,87.5,87.59,87.41
1/25/2017,87.57,8953850,87.4,87.57,87.335
1/24/2017,87.26,7490480,87.15,87.315,87.11
1/23/2017,87.2,13561310,87.13,87.22,87.04
1/20/2017,87.2,9262045,87.06,87.22,86.97
1/19/2017,87.03,10703220,87.25,87.3,86.94
1/18/2017,87.31,12715520,87.2,87.31,87.1
1/17/2017,87.23,8632992,87.26,87.29,87.15
1/13/2017,87.32,8861000,87.26,87.4,87.095
1/12/2017,87.29,12512340,87.25,87.3,87.13
1/11/2017,87.27,11914200,87.25,87.3162,87.11
1/10/2017,87.22,11777040,87.31,87.43,87.18
1/9/2017,87.21,6648800,87.21,87.28,87.05
1/6/2017,87.23,6836425,87.16,87.28,87.04
1/5/2017,87.25,10458580,87.26,87.42,87.2
1/4/2017,87.38,11912360,87,87.39,87
1/3/2017,86.91,14050110,86.88,86.95,86.7
12/30/2016,86.55,7204353,86.58,86.7,86.38
12/29/2016,86.52,3794317,86.47,86.55,86.38
12/28/2016,86.4,6969339,86.64,86.64,86.36
12/27/2016,86.52,5840555,86.49,86.66,86.45
12/23/2016,86.6,4230488,86.47,86.61,86.41
12/22/2016,86.44,8507586,86.27,86.44,86.17
12/21/2016,86.54,17461270,86.35,86.62,86.33
12/20/2016,86.39,11072390,86.3,86.48,86.19
12/19/2016,86.27,5897912,86.12,86.38,86.1
12/16/2016,86.05,15498560,86.21,86.26,86.03
12/15/2016,85.97,11221620,85.79,86.14,85.75
12/14/2016,85.93,15672280,86.58,86.835,85.845
12/13/2016,86.58,10739170,86.69,86.84,86.555
12/12/2016,86.37,8457086,86.65,86.6837,86.28
12/9/2016,86.49,6463369,86.41,86.62,86.36
12/8/2016,86.45,10782100,86.37,86.5,86.13
12/7/2016,86.46,20886380,86.14,86.6,86.065
12/6/2016,86.03,16090630,85.73,86.06,85.65
12/5/2016,85.6,9782060,85.42,85.67,85.38
12/2/2016,85.38,9360396,85.07,85.39,84.98
12/1/2016,84.87,18249410,85.28,85.32,84.87
11/30/2016,85.65,15208980,85.7,85.8,85.43
11/29/2016,85.61,9164012,85.5,85.7,85.43
11/28/2016,85.72,16897360,85.62,86,85.47
11/25/2016,85.73,2009630,85.67,85.76,85.6
