"date","close","volume","open","high","low"
"16:00","24.80","12,281,095","25.49","25.77","24.44"
"2017/12/14","24.8000","12283290.0000","25.4700","25.7700","24.4400"
"2017/12/13","25.8300","9426748.0000","25.7200","26.2300","25.4800"
"2017/12/12","25.6900","9429791.0000","26.0000","26.3650","25.6700"
"2017/12/11","25.8900","10486650.0000","25.8700","26.1800","25.6370"
"2017/12/08","25.8000","13560820.0000","25.3700","25.8400","24.8300"
"2017/12/07","25.2800","12981040.0000","25.5300","25.9586","25.1800"
"2017/12/06","25.0900","12343800.0000","25.1500","25.4000","24.6100"
"2017/12/05","25.2200","16166660.0000","25.8000","25.8400","24.7600"
"2017/12/04","25.8000","26991700.0000","24.6500","26.2600","24.6500"
"2017/12/01","24.1900","14773700.0000","23.8400","24.4000","23.3900"
"2017/11/30","23.8000","26009570.0000","24.1500","24.9000","23.7300"
"2017/11/29","23.9800","30693170.0000","22.2800","24.1900","22.2300"
"2017/11/28","22.1700","16107230.0000","21.4100","22.2300","21.1200"
"2017/11/27","21.2100","16694330.0000","21.1400","21.3617","20.6000"
"2017/11/24","21.0700","12860840.0000","21.3000","21.6500","21.0100"
"2017/11/22","20.6300","10306350.0000","20.5400","21.1400","20.3100"
"2017/11/21","20.4200","10121450.0000","20.8100","20.8200","20.3500"
"2017/11/20","20.8000","11267100.0000","20.3400","20.9200","20.1150"
"2017/11/17","20.3500","14001960.0000","20.6800","20.9400","20.2350"
"2017/11/16","20.2500","11558640.0000","20.0000","20.4200","19.6110"
"2017/11/15","19.9800","15097310.0000","19.4400","20.2400","19.3332"
"2017/11/14","19.7000","10703520.0000","19.1500","19.7300","19.0900"
"2017/11/13","19.3300","21379860.0000","19.9900","20.1000","18.8000"
"2017/11/10","19.9800","28650090.0000","19.5100","20.4000","19.5000"
"2017/11/09","19.5000","60726590.0000","18.0100","20.1000","17.8000"
"2017/11/08","17.5700","19840670.0000","17.5100","17.9300","17.4200"
"2017/11/07","17.5300","20421710.0000","18.1600","18.1700","17.4050"
"2017/11/06","18.1600","14671290.0000","18.3200","18.3600","17.9400"
"2017/11/03","18.3600","14878730.0000","18.8000","18.8200","18.3300"
"2017/11/02","18.7800","11036140.0000","19.0800","19.3450","18.7500"
"2017/11/01","18.9500","14931610.0000","18.8500","19.6200","18.7548"
"2017/10/31","18.7600","12865690.0000","18.7800","18.9100","18.5100"
"2017/10/30","18.8400","24125530.0000","19.2420","19.5900","18.6200"
"2017/10/27","19.6900","25401400.0000","20.3600","20.5000","19.6000"
"2017/10/26","21.3400","7823241.0000","21.2800","21.4700","20.9200"
"2017/10/25","21.2400","8364503.0000","21.3500","21.5300","21.1300"
"2017/10/24","21.4000","8555914.0000","21.4700","21.6200","21.1500"
"2017/10/23","21.3300","12169640.0000","21.2700","21.7854","21.2700"
"2017/10/20","21.1700","13310950.0000","20.3900","21.2300","20.3700"
"2017/10/19","20.1900","5315280.0000","20.0700","20.3200","19.9400"
"2017/10/18","20.1500","6791819.0000","20.0000","20.3300","19.9300"
"2017/10/17","19.9500","8490127.0000","19.8800","19.9900","19.6800"
"2017/10/16","19.8900","21655470.0000","20.0200","20.0500","19.4600"
"2017/10/13","20.2000","8396967.0000","20.3100","20.5000","20.1001"
"2017/10/12","20.2400","9633276.0000","20.4200","20.4200","20.0500"
"2017/10/11","20.4700","7188513.0000","20.6500","20.7400","20.3900"
"2017/10/10","20.6600","8435885.0000","20.5200","20.7800","20.4600"
"2017/10/09","20.3500","12804400.0000","20.9800","20.9900","20.3200"
"2017/10/06","20.8100","13230270.0000","20.8900","21.0800","20.5800"
"2017/10/05","21.0300","9462590.0000","20.6400","21.2700","20.5400"
"2017/10/04","20.6300","9520835.0000","21.0000","21.0100","20.5850"
"2017/10/03","21.0500","9991944.0000","20.9900","21.0600","20.4800"
"2017/10/02","20.8900","22632900.0000","21.7200","21.7200","20.3700"
"2017/09/29","21.8200","7384122.0000","22.0600","22.3400","21.7600"
"2017/09/28","22.0200","6800389.0000","22.1500","22.4200","22.0100"
"2017/09/27","22.1400","6930575.0000","21.8800","22.2200","21.7300"
"2017/09/26","21.8700","5342105.0000","21.8800","21.9850","21.6500"
"2017/09/25","21.8100","6768165.0000","21.3700","22.0758","21.3600"
"2017/09/22","21.5300","7185052.0000","21.1800","21.6500","21.1800"
"2017/09/21","21.1600","10280180.0000","21.5200","21.5500","20.9100"
"2017/09/20","21.4800","9657744.0000","21.6900","21.6900","21.3200"
"2017/09/19","21.7800","11798090.0000","22.2600","22.5200","21.6300"
"2017/09/18","22.1000","8156880.0000","22.5800","22.7300","22.0900"
"2017/09/15","22.5800","16276200.0000","22.0000","22.6850","21.9900"
"2017/09/14","22.0000","8533733.0000","22.2900","22.3300","21.8500"
"2017/09/13","22.6500","12684950.0000","22.6800","22.8700","22.1700"
"2017/09/12","22.2200","8954547.0000","21.5500","22.3200","21.5000"
"2017/09/11","21.4800","7870163.0000","21.0500","21.7400","21.0500"
"2017/09/08","21.3200","6169827.0000","21.7000","21.7500","21.2650"
"2017/09/07","21.7200","6877807.0000","22.3200","22.4430","21.5900"
"2017/09/06","22.1700","14272200.0000","21.1500","22.2500","21.1500"
"2017/09/05","21.0100","7460008.0000","21.3500","21.3500","20.7900"
"2017/09/01","21.4100","6930383.0000","20.8800","21.4600","20.8700"
"2017/08/31","20.7700","7929712.0000","20.8300","20.9700","20.6700"
"2017/08/30","20.8300","4480560.0000","20.9400","21.0500","20.7500"
"2017/08/29","20.9400","7140808.0000","20.8700","20.9700","20.6900"
"2017/08/28","21.1600","5780351.0000","21.2000","21.2500","20.9400"
"2017/08/25","21.1100","8690717.0000","20.6500","21.2700","20.6500"
"2017/08/24","20.6900","12324830.0000","20.8900","21.2600","20.6050"
"2017/08/23","20.5000","8855862.0000","20.3200","20.7100","20.2100"
"2017/08/22","20.4200","17518710.0000","20.0100","20.5800","19.9400"
"2017/08/21","19.5300","9294873.0000","19.4800","19.6900","19.3240"
"2017/08/18","19.4900","10484320.0000","19.5600","19.6400","19.3500"
"2017/08/17","19.6200","20337140.0000","20.0900","20.1300","19.6100"
"2017/08/16","20.1400","8760917.0000","20.4700","20.7900","20.1100"
"2017/08/15","20.2900","7940231.0000","20.4000","20.5400","20.2100"
"2017/08/14","20.3500","8820674.0000","20.7700","20.9000","20.3100"
"2017/08/11","20.6200","12496250.0000","20.3800","21.0300","20.1600"
"2017/08/10","20.6700","39658790.0000","22.6200","22.8500","20.5500"
"2017/08/09","23.0300","9962042.0000","23.4000","23.6600","22.7800"
"2017/08/08","23.5200","6380382.0000","24.1100","24.2400","23.4700"
"2017/08/07","23.5600","6071293.0000","23.2700","23.6900","23.0400"
"2017/08/04","23.3000","8754412.0000","23.5700","23.6500","23.1750"
"2017/08/03","23.5900","6046762.0000","23.2900","24.0400","23.2200"
"2017/08/02","23.1700","6529194.0000","23.7500","23.9500","23.1000"
"2017/08/01","23.9800","4574492.0000","23.7200","24.0050","23.3900"
"2017/07/31","23.7500","5861123.0000","24.3700","24.4500","23.5500"
"2017/07/28","23.9300","5330131.0000","24.1500","24.1900","23.6100"
"2017/07/27","24.2000","8593537.0000","23.5900","24.3700","23.3300"
"2017/07/26","23.5400","5479900.0000","23.5500","23.6400","23.1550"
"2017/07/25","23.4900","6530067.0000","22.8400","23.6900","22.7900"
"2017/07/24","22.6900","5453568.0000","23.2200","23.3500","22.6300"
"2017/07/21","23.3600","4822162.0000","23.1200","23.4200","22.8550"
"2017/07/20","23.0700","5998809.0000","22.8400","23.2900","22.8300"
"2017/07/19","22.9900","4044734.0000","22.8300","23.0800","22.6800"
"2017/07/18","22.6800","5779482.0000","23.0000","23.1300","22.5000"
"2017/07/17","23.0500","11485260.0000","22.3600","23.3600","22.3200"
"2017/07/14","22.3600","8568409.0000","22.1900","22.5000","21.9600"
"2017/07/13","22.1000","14102620.0000","21.5800","22.4600","21.5600"
"2017/07/12","21.2300","7457071.0000","21.2200","21.3410","21.0100"
"2017/07/11","21.1700","10015490.0000","21.1500","21.2800","20.8500"
"2017/07/10","21.0800","21681650.0000","22.6800","22.7000","21.0650"
"2017/07/07","22.6800","7601873.0000","22.9200","23.0500","22.6000"
"2017/07/06","22.8500","5703521.0000","23.2600","23.4000","22.8200"
"2017/07/05","23.5200","12105710.0000","24.1700","24.6534","23.5100"
"2017/07/03","23.8400","3895411.0000","23.3300","23.9300","23.3000"
"2017/06/30","23.2400","6145887.0000","23.0800","23.2650","22.7700"
"2017/06/29","22.9500","7059633.0000","23.2800","23.3700","22.7200"
"2017/06/28","23.1800","11341200.0000","23.2100","23.5300","23.0300"
"2017/06/27","23.0900","10411080.0000","22.4900","23.2300","22.4900"
"2017/06/26","22.4700","6424220.0000","22.2900","22.5800","22.1750"
"2017/06/23","22.2700","6753594.0000","22.1300","22.3200","21.9100"
"2017/06/22","22.0900","6459474.0000","21.6300","22.2300","21.5100"
"2017/06/21","21.6000","8516988.0000","22.0200","22.1050","21.5350"
"2017/06/20","22.1000","6526791.0000","22.6900","22.6900","22.0800"
"2017/06/19","22.7100","8762631.0000","23.0500","23.0500","22.4200"
"2017/06/16","22.9300","8954444.0000","22.6100","22.9350","22.1700"
"2017/06/15","22.7300","6316051.0000","22.6900","23.1200","22.5300"
"2017/06/14","22.7600","9429917.0000","22.3000","22.8100","21.9200"
"2017/06/13","22.2600","8509831.0000","22.1500","22.6600","22.1200"
"2017/06/12","22.6700","12615390.0000","22.7700","23.3300","22.4300"
"2017/06/09","22.7000","13498710.0000","21.8200","22.7600","21.6600"
"2017/06/08","21.7700","18772640.0000","22.3700","22.8600","21.7600"
"2017/06/07","21.8100","14044820.0000","21.9800","22.0500","21.5100"
"2017/06/06","21.9000","30051520.0000","23.9000","24.4200","21.8600"
"2017/06/05","23.8600","4765918.0000","23.7200","23.9700","23.4600"
"2017/06/02","23.8100","6794305.0000","24.3000","24.5604","23.7600"
"2017/06/01","24.0800","6060596.0000","23.4700","24.1600","23.4700"
"2017/05/31","23.5000","11285270.0000","23.6000","23.6250","23.1050"
"2017/05/30","23.6000","6781264.0000","23.4400","23.8250","23.4000"
"2017/05/26","23.4400","4094515.0000","23.3600","23.5500","23.1300"
"2017/05/25","23.3600","5601681.0000","23.4000","23.7200","23.3200"
"2017/05/24","23.1800","4448816.0000","23.0500","23.2900","22.9200"
"2017/05/23","23.0500","5531178.0000","23.5000","23.5100","23.0400"
"2017/05/22","23.4100","9325151.0000","23.0300","23.7100","22.9200"
"2017/05/19","23.0100","8561697.0000","22.8100","23.1600","22.4300"
"2017/05/18","22.7600","9035739.0000","23.0600","23.3600","22.6100"
"2017/05/17","23.0100","11338900.0000","22.8700","23.2200","22.7200"
"2017/05/16","22.8200","16879850.0000","23.3200","23.3200","22.7100"
"2017/05/15","23.2100","19884840.0000","23.6900","23.9000","23.1000"
"2017/05/12","23.6100","19997920.0000","24.4100","24.4500","23.5700"
"2017/05/11","24.3500","47233260.0000","26.4800","27.0000","24.2500"
"2017/05/10","29.3400","7886949.0000","29.2800","29.8300","29.2100"
"2017/05/09","29.3000","10911720.0000","28.6600","29.4900","28.5700"
"2017/05/08","28.6700","4041045.0000","29.1500","29.2000","28.6100"
"2017/05/05","28.9700","4764291.0000","29.0100","29.3000","28.9100"
"2017/05/04","28.9200","3580896.0000","29.2800","29.5600","28.9100"
"2017/05/03","29.1600","3781342.0000","29.5000","29.7210","29.0000"
"2017/05/02","29.5000","3310595.0000","28.8800","29.6000","28.7600"
"2017/05/01","28.8600","4011302.0000","29.2300","29.3000","28.6600"
"2017/04/28","29.2200","4248784.0000","29.4700","29.5100","29.0290"
"2017/04/27","29.5100","2959266.0000","29.4700","29.6300","29.2000"
"2017/04/26","29.4300","3005141.0000","29.3800","29.7200","29.3100"
"2017/04/25","29.2800","4464953.0000","29.3500","29.5350","29.0100"
"2017/04/24","29.1900","4288362.0000","29.7900","29.8400","29.0500"
"2017/04/21","29.4800","3549139.0000","29.8500","30.0500","29.3200"
"2017/04/20","30.0100","5348652.0000","29.3200","30.1800","29.3200"
"2017/04/19","29.0900","4257574.0000","28.8000","29.4600","28.8000"
"2017/04/18","28.7100","3459194.0000","28.7700","28.8400","28.4600"
"2017/04/17","28.8200","4143847.0000","29.1700","29.2300","28.5700"
"2017/04/13","29.1700","4184288.0000","29.2700","29.3950","28.8200"
"2017/04/12","29.1700","5431079.0000","29.6500","29.7800","29.1000"
"2017/04/11","29.7100","3316027.0000","29.5600","29.7500","29.1400"
"2017/04/10","29.5200","4848514.0000","29.2800","29.8050","29.1100"
"2017/04/07","29.1000","4897361.0000","29.3700","29.6200","29.0500"
"2017/04/06","29.4200","5994422.0000","28.9700","30.0800","28.9700"
"2017/04/05","28.8200","6645067.0000","28.9700","29.5600","28.7100"
"2017/04/04","28.8900","6903739.0000","29.4800","29.4900","28.5400"
"2017/04/03","29.6400","5185953.0000","29.6000","29.8200","29.1550"
"2017/03/31","29.6400","5931420.0000","29.4600","29.9000","29.4500"
"2017/03/30","29.4600","4662312.0000","29.1400","29.6450","29.0600"
"2017/03/29","29.2700","6313175.0000","28.5500","29.4950","28.4000"
"2017/03/28","28.5500","4538224.0000","27.7500","28.5800","27.7377"
"2017/03/27","27.9300","5856843.0000","27.8200","28.2900","27.7200"
"2017/03/24","28.1700","4291879.0000","28.0200","28.3100","27.8200"
"2017/03/23","28.2700","5432060.0000","28.4000","28.9600","28.1950"
"2017/03/22","28.3700","6531998.0000","28.3900","28.4400","27.8326"
"2017/03/21","28.4200","11556320.0000","29.3300","29.4000","27.8400"
"2017/03/20","29.3700","7838670.0000","30.5900","30.5900","29.3100"
"2017/03/17","30.5400","11740290.0000","30.5600","30.6800","30.2200"
"2017/03/16","30.4100","6383561.0000","30.0000","30.5800","29.7500"
"2017/03/15","30.3200","8574552.0000","30.7800","30.7800","29.8900"
"2017/03/14","30.9500","4737040.0000","31.0700","31.7500","30.5000"
"2017/03/13","30.9000","6126890.0000","31.3200","31.4400","30.8000"
"2017/03/10","31.7300","3913549.0000","31.7600","31.9700","31.4650"
"2017/03/09","31.5300","4471424.0000","31.8100","31.8700","31.3400"
"2017/03/08","31.7700","7855444.0000","30.8400","32.1600","30.7400"
"2017/03/07","30.8100","6091391.0000","30.7600","31.0200","30.5600"
"2017/03/06","30.6900","10973070.0000","31.3200","31.3500","30.2050"
"2017/03/03","31.7700","13204010.0000","32.9400","33.1700","31.1800"
"2017/03/02","33.2200","4489096.0000","33.1300","33.3200","32.9600"
"2017/03/01","32.9500","6063333.0000","33.4800","33.6700","32.8800"
"2017/02/28","33.2200","10276050.0000","33.1500","33.2400","32.6600"
"2017/02/27","33.5700","6298333.0000","33.1500","33.7300","33.1100"
"2017/02/24","33.1700","8149139.0000","32.4800","33.5600","32.2700"
"2017/02/23","32.4400","8953977.0000","32.4800","33.0900","32.2700"
"2017/02/22","32.3600","9381213.0000","32.3000","32.8400","32.1100"
"2017/02/21","32.2900","16113710.0000","33.0900","33.4900","32.1300"
"2017/02/17","32.3000","8181942.0000","31.9600","32.3100","31.8600"
"2017/02/16","31.8200","8812247.0000","32.7000","32.8700","31.7200"
"2017/02/15","32.7400","7324182.0000","32.8900","33.0200","32.4100"
"2017/02/14","32.6800","7541733.0000","32.6100","32.9900","32.5000"
"2017/02/13","32.5800","14047490.0000","33.0700","33.2300","32.4300"
"2017/02/10","31.9900","7892839.0000","32.4400","32.8800","31.5500"
"2017/02/09","32.3700","7602850.0000","31.8900","32.6500","31.6400"
"2017/02/08","31.9800","6917529.0000","31.0500","31.9800","30.8100"
"2017/02/07","31.2000","10415110.0000","31.7400","32.1500","31.0200"
"2017/02/06","31.7900","14482920.0000","32.6400","32.7900","31.6400"
"2017/02/03","32.6900","47939560.0000","30.6900","34.3700","30.1100"
"2017/02/02","30.7200","16454820.0000","30.3200","31.0600","29.9000"
"2017/02/01","29.2100","5061199.0000","29.3200","29.5700","29.1200"
"2017/01/31","29.5400","9049362.0000","28.8500","29.5800","28.7400"
"2017/01/30","29.5200","5403347.0000","29.0700","29.5300","29.0300"
"2017/01/27","29.1100","9919831.0000","29.9500","29.9700","28.7000"
"2017/01/26","29.9200","4349716.0000","30.1800","30.3355","29.8100"
"2017/01/25","30.1500","6088329.0000","30.1600","30.4000","29.9300"
"2017/01/24","29.9800","5044221.0000","29.5200","30.0300","29.5200"
"2017/01/23","29.6300","4666005.0000","29.4800","29.9200","29.3500"
"2017/01/20","29.7000","7018237.0000","29.5700","29.8500","29.4610"
"2017/01/19","29.4500","7452748.0000","29.5000","29.8301","29.2700"
"2017/01/18","29.4400","13241910.0000","30.0100","30.0100","28.5500"
"2017/01/17","29.9000","8772018.0000","29.9100","30.6000","29.8700"
"2017/01/13","29.8800","5852395.0000","29.9200","30.0000","29.6600"
"2017/01/12","29.9800","6351527.0000","29.8300","30.1900","29.7000"
"2017/01/11","29.9500","8960039.0000","30.5000","30.5300","29.7500"
"2017/01/10","30.3000","10682540.0000","30.6400","30.6835","30.1200"
"2017/01/09","30.4600","9246476.0000","30.8800","30.9900","30.3500"
"2017/01/06","30.8200","11479860.0000","30.8200","31.5200","30.5500"
"2017/01/05","30.8600","29240720.0000","31.5700","31.8500","30.5100"
"2017/01/04","35.8400","9278622.0000","35.5100","36.3950","35.4750"
"2017/01/03","35.2300","9777186.0000","36.1300","36.2000","34.7900"
"2016/12/30","35.8100","3786498.0000","36.3600","36.5000","35.6100"
"2016/12/29","36.2900","3121602.0000","36.2400","36.6000","35.9200"
"2016/12/28","36.2800","3509626.0000","36.6100","36.9300","36.1200"
"2016/12/27","36.5300","4671008.0000","36.6700","37.2300","36.2650"
"2016/12/23","36.4800","4269404.0000","36.2800","36.9300","36.2600"
"2016/12/22","36.1700","6755241.0000","37.5300","37.6700","36.0500"
"2016/12/21","37.5100","2991196.0000","37.8600","37.9700","37.4800"
"2016/12/20","37.9500","6164877.0000","37.2500","38.1600","37.2500"
"2016/12/19","37.0000","7910401.0000","37.3600","37.8800","36.9400"
"2016/12/16","37.4700","12887500.0000","39.7700","39.7800","37.3200"
"2016/12/15","40.1400","6316918.0000","40.0900","40.6600","40.0500"
"2016/12/14","40.1600","4285884.0000","40.5800","40.9200","40.1400"
"2016/12/13","40.7100","5337955.0000","40.2500","40.9250","39.9900"
"2016/12/12","40.4600","8358379.0000","42.2400","42.3000","40.3700"
"2016/12/09","42.4400","3613111.0000","43.0400","43.0800","42.1700"
"2016/12/08","43.0700","4230558.0000","43.2100","43.7900","42.6700"
"2016/12/07","43.1800","4518749.0000","42.5600","43.2300","42.3500"
"2016/12/06","42.4000","6825858.0000","41.8000","42.6800","41.3310"
"2016/12/05","41.9100","7201829.0000","42.6200","43.0050","41.5150"
"2016/12/02","42.4800","3662473.0000","42.4900","43.0400","42.2500"
"2016/12/01","42.4200","5248135.0000","42.0100","43.4500","41.9000"
"2016/11/30","42.2000","6983074.0000","42.3900","42.6550","41.5800"
"2016/11/29","42.4900","5770346.0000","43.2700","43.6100","42.3900"
"2016/11/28","43.1300","7047154.0000","43.7500","44.0000","42.8600"
"2016/11/25","44.1400","3061509.0000","45.1500","45.4100","44.0900"
"2016/11/23","44.9100","5411744.0000","44.2100","45.1550","44.1900"
"2016/11/22","44.4600","6641556.0000","43.7400","44.6800","43.4850"
"2016/11/21","43.1900","3919040.0000","43.1400","43.6000","42.8501"
"2016/11/18","43.0300","5055445.0000","42.7200","43.2200","41.9550"
"2016/11/17","43.0500","6278361.0000","41.9400","43.0900","41.6776"
"2016/11/16","41.8400","5873730.0000","41.7900","42.0550","41.2050"
"2016/11/15","41.3900","7689726.0000","41.5700","41.7900","40.4500"
"2016/11/14","41.5600","13391240.0000","41.1000","43.9400","41.1000"
"2016/11/11","41.3600","9285683.0000","40.4900","41.3700","40.1700"
"2016/11/10","40.5300","18873550.0000","39.9900","42.0000","39.6000"
"2016/11/09","38.3800","11459090.0000","37.1900","38.9100","36.7500"
"2016/11/08","37.8700","5347638.0000","37.7100","38.2400","37.4800"
"2016/11/07","37.7700","4791534.0000","37.2300","37.8050","37.1000"
"2016/11/04","36.8500","4210071.0000","36.9700","37.4650","36.8000"
"2016/11/03","36.8900","5952334.0000","37.0400","37.4600","36.8100"
"2016/11/02","36.8900","5097251.0000","36.8600","37.0900","36.5600"
"2016/11/01","36.8400","7156028.0000","36.4400","37.3500","36.4200"
"2016/10/31","36.4900","6990442.0000","36.0200","36.5650","35.8000"
"2016/10/28","35.5600","4083239.0000","35.3200","35.9000","35.2450"
"2016/10/27","35.3000","5346745.0000","36.0000","36.1700","35.1300"
"2016/10/26","35.9500","3899398.0000","35.8200","36.3800","35.7600"
"2016/10/25","35.9300","4082318.0000","36.2400","36.3500","35.8100"
"2016/10/24","36.6400","2989949.0000","36.6900","37.0400","36.4000"
"2016/10/21","36.5100","3348158.0000","35.7600","36.5200","35.5900"
"2016/10/20","35.8700","3277901.0000","35.6000","36.0600","35.4800"
"2016/10/19","35.5900","3200265.0000","35.1500","35.6100","34.9000"
"2016/10/18","35.2000","4659079.0000","35.2500","35.3500","34.8000"
"2016/10/17","35.0900","7208845.0000","35.5300","36.2100","34.8800"
"2016/10/14","35.5700","7822292.0000","35.9700","36.2700","35.1900"
"2016/10/13","36.8000","4712894.0000","37.2900","37.3400","36.3900"
"2016/10/12","37.5400","3729228.0000","37.2400","37.7400","36.9700"
"2016/10/11","37.2400","3830653.0000","37.5300","37.7250","37.1400"
"2016/10/10","37.5400","4378288.0000","38.2200","38.4800","37.4350"
"2016/10/07","38.0400","6688909.0000","37.8900","38.3700","37.5500"
"2016/10/06","37.6800","6813421.0000","37.1700","37.8600","36.7300"
"2016/10/05","37.3600","5997801.0000","36.7600","37.5800","36.5700"
"2016/10/04","36.5600","5099609.0000","36.3100","36.6000","36.0800"
"2016/10/03","36.2800","4269134.0000","36.9700","37.2300","36.1700"
"2016/09/30","37.0500","5362486.0000","36.3900","37.2200","36.3900"
"2016/09/29","36.0500","3810409.0000","36.0000","36.4750","35.8100"
"2016/09/28","36.1000","4994140.0000","36.1900","36.6600","35.7000"
"2016/09/27","36.6000","3590052.0000","36.2100","36.6400","36.0510"
"2016/09/26","36.2400","6223707.0000","36.4000","37.0600","36.2000"
"2016/09/23","36.6200","4698826.0000","36.2200","36.8100","36.2100"
"2016/09/22","36.2600","8357443.0000","36.1800","36.8600","36.0000"
"2016/09/21","36.0100","7008824.0000","35.8000","36.0700","35.4800"
"2016/09/20","34.9600","4226819.0000","35.3000","35.5000","34.8500"
"2016/09/19","35.2200","4416196.0000","35.5600","35.8000","35.1500"
"2016/09/16","35.5400","9438731.0000","35.3700","35.7300","35.1900"
"2016/09/15","35.5600","5817809.0000","35.1100","35.8750","35.0600"
"2016/09/14","35.2100","10991830.0000","35.4500","35.8300","34.8200"
"2016/09/13","34.6800","6029635.0000","34.9600","35.2500","34.3100"
"2016/09/12","35.6500","6998400.0000","35.2700","35.7300","34.8100"
"2016/09/09","35.4800","5024900.0000","35.8700","36.0500","35.4700"
"2016/09/08","36.0000","7555227.0000","37.1400","37.1700","35.9500"
"2016/09/07","37.1900","6637922.0000","36.4000","37.3700","36.2400"
"2016/09/06","36.1500","7723992.0000","36.5100","36.5600","35.7300"
"2016/09/02","36.6400","5427704.0000","36.4300","36.9200","36.1100"
