date,close,volume,open,high,low
12/14/2017,24.9,12857440,24.71,24.91,24.22
12/13/2017,24.69,5562531,24.95,25.19,24.52
12/12/2017,24.82,9330571,23.86,24.93,23.84
12/11/2017,23.84,2433475,23.63,23.99,23.63
12/8/2017,23.62,3966036,23.98,24,23.481
12/7/2017,23.87,5424248,23.31,23.93,23.17
12/6/2017,23.41,4319662,23.7,24.06,23.39
12/5/2017,23.84,5196822,23.62,23.945,23.365
12/4/2017,23.7,4935117,24.39,24.5492,23.64
12/1/2017,24.28,5079611,24.31,24.69,23.95
11/30/2017,24.29,6543359,24.47,24.71,24.26
11/29/2017,24.39,5454920,24.22,24.66,24.14
11/28/2017,24.09,4933202,23.52,24.135,23.46
11/27/2017,23.48,2988487,23.79,23.93,23.475
11/24/2017,23.85,1437880,23.97,24.03,23.7
11/22/2017,23.89,3541214,23.71,23.98,23.685
11/21/2017,23.61,5959386,23.15,23.76,23.13
11/20/2017,23.03,3738392,22.94,23.11,22.7593
11/17/2017,22.94,3819875,22.44,23.16,22.43
11/16/2017,22.48,4522262,22.5,22.72,22.43
11/15/2017,22.38,3503357,22.81,22.86,22.335
11/14/2017,23,3706439,23.2,23.45,22.83
11/13/2017,23.28,5216569,22.7,23.4,22.7
11/10/2017,22.84,4834787,22.42,23.015,22.42
11/9/2017,22.5,5843488,22.42,22.8,22.29
11/8/2017,22.64,4764191,22.56,22.795,22.34
11/7/2017,22.56,5929181,22.5,22.68,22.24
11/6/2017,22.49,4851836,22.38,22.94,22.38
11/3/2017,22.38,4462348,22.5,22.55,22.25
11/2/2017,22.47,5403781,22.84,23,22.4
11/1/2017,22.64,7616480,23.02,23.14,22.5
10/31/2017,22.34,11756720,22.3,22.9,21.94
10/30/2017,20.85,4730230,20.95,21.19,20.75
10/27/2017,20.94,4071030,20.91,21.1,20.86
10/26/2017,21.16,3965439,21.25,21.28,20.83
10/25/2017,21.54,2702739,21.7,21.72,21.26
10/24/2017,21.65,3389567,21.11,21.8,21.03
10/23/2017,21.03,2228377,21.4,21.57,21.03
10/20/2017,21.41,2353319,21.25,21.43,21.02
10/19/2017,21.1,2645531,21.05,21.18,20.93
10/18/2017,21.16,3356172,21.06,21.42,20.98
10/17/2017,21.06,4631240,21.77,21.84,20.89
10/16/2017,21.9,2490971,21.81,21.93,21.68
10/13/2017,21.78,3745758,21.3,22.05,21.27
10/12/2017,21.23,2912640,21.02,21.27,20.945
10/11/2017,21.1,2699856,21.11,21.37,21.03
10/10/2017,20.92,2088985,21.03,21.06,20.84
10/9/2017,20.94,3909130,20.97,21.05,20.72
10/6/2017,21.02,4886141,21.57,21.6,20.93
10/5/2017,21.64,4017079,21.75,21.79,21.55
10/4/2017,21.72,2808995,21.75,21.94,21.64
10/3/2017,21.76,2959024,21.9,21.91,21.63
10/2/2017,21.75,3877092,21.53,21.92,21.43
9/29/2017,21.59,2785217,21.3,21.6,21.17
9/28/2017,21.3,4304578,21.52,21.905,21.22
9/27/2017,21.46,3010802,21.51,21.55,21.17
9/26/2017,21.39,3191712,21.29,21.51,21
9/25/2017,21.26,3885773,20.88,21.285,20.79
9/22/2017,20.86,2187486,20.88,21,20.74
9/21/2017,20.94,4406061,20.81,21.29,20.72
9/20/2017,20.87,4718972,20.96,21.35,20.675
9/19/2017,20.84,5015025,21.37,21.49,20.725
9/18/2017,21.31,7283146,20.66,21.855,20.66
9/15/2017,20.66,6355123,20.47,20.77,20.39
9/14/2017,20.44,3810789,20.12,20.46,20.085
9/13/2017,20.13,3026807,20.31,20.37,20
9/12/2017,20.26,4859761,20.09,20.56,20.05
9/11/2017,20.01,6104766,19.5,20.215,19.47
9/8/2017,19.39,3871266,19.51,19.55,19.23
9/7/2017,19.53,4919444,19.78,19.9,19.485
9/6/2017,19.74,5979686,19.4,19.83,19.241
9/5/2017,19.46,5228268,20.11,20.23,19.42
9/1/2017,20.11,2554077,20.05,20.26,20
8/31/2017,19.98,3491877,19.94,20.13,19.715
8/30/2017,19.82,2004824,19.9,19.9,19.67
8/29/2017,19.94,2898483,19.92,19.95,19.71
8/28/2017,20.07,3441649,20.4,20.45,19.87
8/25/2017,20.37,2300796,20.34,20.54,20.21
8/24/2017,20.19,2380246,20.2,20.42,20
8/23/2017,20.17,2914328,19.9,20.31,19.9
8/22/2017,19.94,3806513,19.99,20.32,19.93
8/21/2017,19.86,2588756,19.87,19.96,19.6844
8/18/2017,19.86,4465639,20.06,20.085,19.59
8/17/2017,20.1,3824286,20.54,20.95,20.08
8/16/2017,20.57,5606279,20.22,20.755,20.1695
8/15/2017,20.16,6694033,20.18,20.25,19.77
8/14/2017,20.31,4772215,20.44,20.64,20.27
8/11/2017,20.34,5511973,20.79,20.85,20.06
8/10/2017,20.61,7088629,21.19,21.37,20.385
8/9/2017,21.26,4222496,21.51,21.56,21.14
8/8/2017,21.54,5481579,21.96,22.19,21.43
8/7/2017,21.97,4350019,22.61,22.62,21.88
8/4/2017,22.58,3177651,22.4,22.615,22.195
8/3/2017,22.32,3598602,22.15,22.65,22.06
8/2/2017,22.25,5715928,22.8,22.87,22.05
8/1/2017,22.89,10771860,23.83,23.83,21.97
7/31/2017,24.14,3381825,24.19,24.37,23.99
7/28/2017,24.17,3012359,23.88,24.29,23.88
7/27/2017,23.88,3861355,23.64,24.195,23.3411
7/26/2017,23.6,3482148,24.32,24.44,23.48
7/25/2017,24.22,3199692,24.22,24.56,24
7/24/2017,24.16,2236509,24.26,24.35,24.01
7/21/2017,24.37,2921692,24.44,24.62,24.04
7/20/2017,24.43,3397408,24.71,24.77,24.11
7/19/2017,24.54,3775349,24.05,24.65,24.01
7/18/2017,23.97,1966748,23.9,23.99,23.67
7/17/2017,23.96,2766097,23.77,24.24,23.69
7/14/2017,23.72,2952526,23.75,23.8698,23.52
7/13/2017,23.85,3152624,23.53,23.9,23.3624
7/12/2017,23.57,5307735,23.88,24.295,23.45
7/11/2017,23.67,5674876,23.79,23.96,23.13
7/10/2017,23.8,6812570,22.64,24.18,22.53
7/7/2017,22.6,3477561,22.48,22.67,22.17
7/6/2017,22.4,3217021,22.73,22.885,22.35
7/5/2017,22.87,4404563,23.76,23.81,22.831
7/3/2017,23.77,2389626,23.04,23.84,22.98
6/30/2017,22.83,2562666,22.73,22.96,22.5501
6/29/2017,22.61,2962483,22.65,22.995,22.5
6/28/2017,22.58,2437169,22.84,23.06,22.57
6/27/2017,22.63,2497145,23.27,23.34,22.63
6/26/2017,23.23,3467517,23.03,23.3,22.91
6/23/2017,22.97,4545797,22.4,23.04,22.1099
6/22/2017,22.32,5838443,21.88,22.47,21.81
6/21/2017,21.87,4068090,22.26,22.39,21.785
6/20/2017,22.22,3476761,22.72,22.72,22.2
6/19/2017,22.86,3445813,22.78,22.95,22.69
6/16/2017,22.71,6020044,22.36,22.72,22.19
6/15/2017,22.33,3993325,22.52,22.76,22.23
6/14/2017,22.74,4309415,23.69,23.8,22.64
6/13/2017,23.7,4460669,23.55,23.81,23.29
6/12/2017,23.55,6525206,23.51,24.45,23.3
6/9/2017,23.51,4919843,22.86,23.645,22.68
6/8/2017,22.55,2850272,22.25,22.79,22.18
6/7/2017,22.25,4028805,22.6,22.61,22.15
6/6/2017,22.6,3053123,22.46,22.67,22.26
6/5/2017,22.6,3449554,22.38,22.73,22.281
6/2/2017,22.5,3602633,22.73,22.75,22.32
6/1/2017,22.79,3406610,22.63,23.065,22.45
5/31/2017,22.63,4676334,22.96,22.96,22.28
5/30/2017,22.94,2214494,23,23.06,22.85
5/26/2017,23.16,2490745,22.84,23.21,22.775
5/25/2017,22.9,3218530,23.14,23.42,22.68
5/24/2017,23.14,2875746,23.34,23.47,22.98
5/23/2017,23.32,5129389,23.21,23.49,23.11
5/22/2017,23.1,4949994,23.8,23.88,22.89
5/19/2017,23.65,5643974,22.95,23.9,22.94
5/18/2017,22.85,4722420,22.51,22.9443,22.43
5/17/2017,22.81,5154003,23.07,23.28,22.6
5/16/2017,23.41,3426565,23.45,23.65,23.24
5/15/2017,23.45,4459984,23.12,23.68,23.04
5/12/2017,22.91,5801397,23.65,23.8,22.9
5/11/2017,23.7,6839344,23.48,23.855,23.21
5/10/2017,23.46,10589380,23.52,23.62,23.4
5/9/2017,23.49,9226204,24,24.12,23.46
5/8/2017,23.54,6836779,23.48,23.665,23.29
5/5/2017,23.45,7734113,23.4,23.64,23.4
5/4/2017,23.32,8444207,23.68,23.8959,23.205
5/3/2017,23.63,11548730,24.73,24.85,23.52
5/2/2017,24.95,13854270,26.04,26.11,24.58
5/1/2017,26.87,4335341,27.12,27.15,26.8
4/28/2017,26.93,5411670,27.55,27.61,26.875
4/27/2017,27.45,4214651,27.56,27.89,27.38
4/26/2017,27.42,5188384,27.37,27.52,26.85
4/25/2017,27.54,4322443,27.39,27.71,27.29
4/24/2017,27.09,4856226,27.06,27.2457,26.93
4/21/2017,26.67,3539365,27.04,27.13,26.67
4/20/2017,27.1,3432959,26.97,27.26,26.89
4/19/2017,26.83,3063908,27.11,27.21,26.72
4/18/2017,27.04,3874602,27.16,27.185,26.82
4/17/2017,27.36,4467607,27.48,27.56,27.2
4/13/2017,27.46,4230458,28.08,28.16,27.42
4/12/2017,28.15,3796924,28.56,28.66,28.11
4/11/2017,28.69,3735985,28.93,29.05,28.27
4/10/2017,28.94,2918885,28.95,29.13,28.67
4/7/2017,28.85,2478821,29.05,29.1349,28.81
4/6/2017,29.19,3258014,29,29.33,28.86
4/5/2017,29,5319323,29.36,29.51,28.97
4/4/2017,29.16,4588679,28.89,29.17,28.58
4/3/2017,28.91,3958722,29.25,29.43,28.41
3/31/2017,29.18,4223311,29.24,29.475,28.93
3/30/2017,29.35,2997284,29.37,29.56,29.02
3/29/2017,29.48,2737879,29.18,29.8,29.04
3/28/2017,29.17,2848932,28.65,29.37,28.65
3/27/2017,28.64,3073095,28.46,28.9,28.38
3/24/2017,28.75,2158625,28.98,29.08,28.58
3/23/2017,29,1958173,28.79,29.18,28.66
3/22/2017,28.75,2663305,28.64,28.88,28.34
3/21/2017,28.64,3519551,29.25,29.59,28.62
3/20/2017,29.25,3050754,29.22,29.57,29
3/17/2017,29.17,4827977,29.08,29.29,28.93
3/16/2017,28.99,2716627,29.32,29.4,28.94
3/15/2017,29.14,3678045,28.78,29.265,28.55
3/14/2017,28.6,3282632,28.83,28.95,28.46
3/13/2017,29.12,2801137,29.3,29.435,28.98
3/10/2017,29.19,5809645,29.03,29.43,28.85
3/9/2017,29,11896910,29.21,30.49,28.78
3/8/2017,28.67,8117124,29.25,29.44,28.64
3/7/2017,29.18,9147370,29.67,29.71,28.96
3/6/2017,29.65,4017083,30.01,30.14,29.63
3/3/2017,30.22,6526070,30.3,30.38,29.93
3/2/2017,30.42,5265526,31.09,31.17,30.41
3/1/2017,31.03,6687834,31.6,31.9,30.94
2/28/2017,31.19,8525806,31.24,31.86,31.075
2/27/2017,31.54,4687190,31.38,31.65,31.2
2/24/2017,31.42,4385960,31.47,31.56,31.04
2/23/2017,31.83,6940850,33.31,33.31,31.4707
2/22/2017,33.13,2382093,33.37,33.59,33.0931
2/21/2017,33.64,3024563,33.9,33.9,33.45
2/17/2017,33.59,2771476,33.14,33.6,32.76
2/16/2017,33.15,3699384,33.68,33.805,32.93
2/15/2017,33.78,4173185,34.01,34.04,33.365
2/14/2017,34.02,3403208,33.65,34.035,33.41
2/13/2017,33.75,5985125,33.13,34.36,33.1
2/10/2017,32.86,4617034,32.08,33.04,32.08
2/9/2017,31.83,5003591,32.39,32.57,31.59
2/8/2017,32.21,4806019,32.23,32.59,31.6
2/7/2017,32.23,7327188,31.1,33.02,30.66
2/6/2017,32.03,5789902,31.77,32.14,31.6
2/3/2017,31.85,4943349,31.53,31.95,31.51
2/2/2017,31.45,2807858,31.59,31.68,30.76
2/1/2017,31.68,3910936,31.38,31.96,31.065
1/31/2017,31.37,5095303,31.04,31.39,30.71
1/30/2017,30.97,3627098,31.15,31.15,30.705
1/27/2017,31.42,4891132,31.82,31.99,31.12
1/26/2017,31.84,8221880,32.01,32.34,31.425
1/25/2017,33.26,7093257,33.5,33.93,32.93
1/24/2017,33.45,9688076,31.89,33.99,31.89
1/23/2017,31.55,3544268,31.33,31.63,31.05
1/20/2017,31.28,5524931,30.69,31.57,30.65
1/19/2017,30.25,3144009,30.69,30.83,30.01
1/18/2017,30.6,2897800,30.84,30.92,30.345
1/17/2017,30.77,3302148,31.49,31.515,30.59
1/13/2017,31.25,2961028,31.49,31.78,30.93
1/12/2017,31.41,3511279,31.43,31.61,30.665
1/11/2017,31.43,3408046,30.77,31.45,30.51
1/10/2017,30.72,3005320,30.79,31.23,30.29
1/9/2017,30.71,3086120,30.87,31.12,30.445
1/6/2017,30.8,2707167,30.85,30.91,30.56
1/5/2017,30.87,4710222,30.9,31.04,30.46
1/4/2017,30.81,12151740,29.7,30.9,29.69
1/3/2017,29.53,3359126,29.65,30.07,29.28
12/30/2016,29.33,2879914,29.39,29.79,29.1
12/29/2016,29.33,2083606,29.06,29.455,29.0199
12/28/2016,29.06,3388196,30.09,30.38,29
12/27/2016,30.04,2729606,29.15,30.31,29.1108
12/23/2016,29.18,2698943,29.34,29.5,28.8
12/22/2016,29.35,5719151,28.68,29.43,28.54
12/21/2016,28.78,5545753,28.39,28.87,28.03
12/20/2016,28.16,6696276,27.94,28.22,27.51
12/19/2016,27.77,9520219,28.9,29.39,27.62
12/16/2016,29.56,6911809,29.65,29.92,29.18
12/15/2016,29.74,3965490,29.22,30.38,29.1
12/14/2016,29.38,4929529,29.57,30.44,29.32
12/13/2016,29.52,6273901,30.62,30.63,29.055
12/12/2016,30.24,5559518,31.43,31.45,30.09
12/9/2016,31.42,5668896,30.26,31.54,30.19
12/8/2016,30.18,4320138,30.43,30.69,29.945
12/7/2016,30.23,4664678,29.45,30.29,29.31
12/6/2016,29.38,5345317,29.05,29.52,28.47
12/5/2016,29.17,6320374,28.98,29.8,28.98
12/2/2016,28.82,3777044,29.05,29.2501,28.67
12/1/2016,29.09,7389339,28.6,29.5,28.56
11/30/2016,28.4,6345075,27.4,28.56,27.29
11/29/2016,27.06,5492925,26.99,27.3,26.61
11/28/2016,27.35,4620904,27.42,27.64,26.8
11/25/2016,27.43,2109053,27.48,27.7,26.95
11/23/2016,27.45,4207887,27.35,27.91,27.29
11/22/2016,27.37,6783938,29.05,29.12,27.2
11/21/2016,29.05,5397418,28.5,29.07,28.47
11/18/2016,28.26,4148555,27.21,28.36,27.21
11/17/2016,27.33,2786649,27.24,27.44,27.02
11/16/2016,27.21,3386108,27.73,27.95,27.15
11/15/2016,27.95,4852134,28.13,28.19,27.57
11/14/2016,28.29,6924236,27.45,28.3,27.45
11/11/2016,27.41,7431646,28.07,28.18,26.8
11/10/2016,28.23,7989680,26.93,28.5,26.93
11/9/2016,26.77,5781178,25.93,26.9572,25.5
11/8/2016,26.18,5437418,25.06,26.28,24.81
11/7/2016,25.11,5524724,24.88,25.35,24.76
11/4/2016,24.5,4357340,24.02,24.79,23.96
11/3/2016,24.15,5451036,24.58,24.65,24.07
11/2/2016,24.73,7180171,24.53,25.04,24.21
11/1/2016,24.32,8046496,23.96,24.94,23.66
10/31/2016,23.53,4856908,23.72,23.9,23.26
10/28/2016,23.79,3762689,23.99,24.29,23.53
10/27/2016,23.93,5461488,25,25.07,23.825
10/26/2016,24.82,3447803,24.51,24.97,24.36
10/25/2016,24.6,3515593,24.58,24.83,24.35
10/24/2016,24.51,3093769,24.4,24.54,24.17
10/21/2016,24.31,4097709,24.52,24.76,24.15
10/20/2016,24.69,8718954,23.7,24.85,23.59
10/19/2016,23.84,5508898,23.28,23.94,23.22
10/18/2016,23.39,4208989,23.11,23.54,22.83
10/17/2016,22.83,4035507,23.16,23.28,22.8
10/14/2016,23.15,4146507,23.4,23.73,23.14
10/13/2016,23.24,6158209,23.52,23.52,22.77
10/12/2016,23.79,6487175,24.8,24.87,23.75
10/11/2016,24.86,4607694,24.83,25,24.43
10/10/2016,24.83,2875411,24.81,25.05,24.67
10/7/2016,24.58,3919928,24.9,24.91,24.43
10/6/2016,24.85,3759713,25.05,25.2,24.59
10/5/2016,25.07,4812262,24.79,25.49,24.61
10/4/2016,24.64,4266952,24.86,24.949,24.59
10/3/2016,24.89,5816812,24.5,24.94,24.26
9/30/2016,24.46,5645829,24.4,24.64,24.15
9/29/2016,24.25,4452341,24.5,24.785,24.17
9/28/2016,24.46,5132944,24.07,24.48,23.92
9/27/2016,23.99,6938947,24.06,24.12,23.725
9/26/2016,24.14,6537065,24.75,24.87,24.12
9/23/2016,24.82,5474023,25.42,25.53,24.8
9/22/2016,25.55,5199034,25.46,25.9525,25.38
9/21/2016,25.32,4077447,25.3,25.66,25.02
9/20/2016,25.09,4040795,25.42,25.54,25
9/19/2016,25.28,3599811,25.56,25.71,25.28
9/16/2016,25.54,4646471,25.75,25.98,25.44
9/15/2016,25.95,4468496,25.72,26.21,25.71
9/14/2016,25.83,3943553,26.59,26.68,25.695
9/13/2016,26.49,4866601,26.8,26.92,26.09
9/12/2016,27.25,5763417,27.09,27.58,26.75
9/9/2016,27.01,4593756,28.06,28.13,26.97
9/8/2016,28.25,3950451,28.63,28.95,28.1
9/7/2016,28.57,4789354,28.52,29.16,28.18
9/6/2016,28.65,3807530,29.28,29.5062,28.62
9/2/2016,29.49,3842643,29.48,29.85,28.895
9/1/2016,29.17,6230917,30,30.03,29.04
8/31/2016,30.07,8702318,30.3,30.39,29.55
8/30/2016,30.45,21094410,27.87,30.96,27.69
8/29/2016,27.95,3131964,27.67,28.16,27.67
8/26/2016,27.6,5415663,28.67,28.9,27.47
8/25/2016,28.5,2978964,28.5,28.795,28.33
8/24/2016,28.44,4235618,29.22,29.38,28.39
8/23/2016,29.27,5265936,28.72,29.47,28.64
8/22/2016,28.39,3536510,27.87,28.43,27.72
8/19/2016,28.07,3010287,27.65,28.15,27.44
8/18/2016,27.96,4277416,27.86,28.03,27.62
8/17/2016,27.8,4616908,27.8,27.97,27.365
8/16/2016,28.07,4669992,28.5,28.7,27.85
8/15/2016,28.43,4629120,27.26,28.5,27.19
8/12/2016,27.18,5416937,28.11,28.5,27.13
8/11/2016,28.11,4386040,27.94,28.18,27.3
8/10/2016,27.88,5128774,28.31,28.695,27.79
8/9/2016,28.21,4342948,28.39,28.66,28.12
8/8/2016,28.32,4755716,27.47,28.4,27.465
8/5/2016,27.27,6205707,26.65,27.685,26.51
8/4/2016,26.44,6586334,27.11,27.11,25.98
8/3/2016,27.3,6253107,27.11,27.75,26.85
8/2/2016,27.26,8098349,26.42,28.06,26.42
8/1/2016,26.63,6611705,27.02,27.13,26.41
7/29/2016,27,9050393,27.53,27.535,26.63
7/28/2016,27.65,5901369,28.32,28.37,27.43
