date,close,volume,open,high,low
12/14/2017,31.73,9997611,32.6,33.28,31.68
12/13/2017,32.84,9975424,32.7,33.12,32.05
12/12/2017,33,9478258,33.41,33.81,32.93
12/11/2017,33.42,11292810,33.65,34.33,33.2
12/8/2017,33.23,11894250,32.38,33.46,32.01
12/7/2017,31.85,13235680,31.73,32.33,31.495
12/6/2017,31.11,17773600,30.27,32.16,30.27
12/5/2017,29.83,8861263,29.4,30.05,29.0834
12/4/2017,29.84,10942340,29.85,30.58,29.81
12/1/2017,29.3,14414350,29.05,30.2101,28.78
11/30/2017,28.92,8840958,28.84,29.27,28.7
11/29/2017,28.63,8306624,28.55,29.0816,28.44
11/28/2017,28.61,10584590,28.81,28.81,27.91
11/27/2017,28.8,6663274,29.23,29.25,28.45
11/24/2017,29.21,6409696,28.78,29.48,28.72
11/22/2017,28.51,7399538,28.31,28.72,28.25
11/21/2017,28.16,7172197,28.21,28.56,28.07
11/20/2017,27.85,9044848,27.12,28.19,27.06
11/17/2017,27.28,7308945,27.09,27.53,26.89
11/16/2017,27.13,8266571,27.33,27.37,26.78
11/15/2017,27.11,12015260,26.15,27.175,25.46
11/14/2017,26.67,8049093,27.45,27.59,26.545
11/13/2017,27.62,6605212,27.29,27.855,27.14
11/10/2017,27.46,8041303,27.4,27.957,27.29
11/9/2017,27.1,9948525,26.67,27.58,26.64
11/8/2017,27.27,9131851,26.83,27.42,26.3
11/7/2017,26.95,8944537,27.51,27.59,26.6699
11/6/2017,27.51,7892778,27.38,27.99,27.1
11/3/2017,27.04,9957031,27.61,27.62,26.91
11/2/2017,27.59,13694950,27.48,28.37,27.28
11/1/2017,27.3,38628660,27.85,29.33,26.67
10/31/2017,25.32,23983050,25.46,25.98,24.82
10/30/2017,26.46,9510109,27,27.09,26.35
10/27/2017,27.08,10508010,27.27,27.39,26.7
10/26/2017,27.69,9328211,28.29,28.34,27.62
10/25/2017,28.11,8865884,28.3,28.57,27.82
10/24/2017,28.69,10212070,28.1,28.94,28.04
10/23/2017,27.99,7966266,28.27,28.66,27.965
10/20/2017,28.43,13730360,28.1,28.57,27.95
10/19/2017,27.68,11424940,26.76,27.82,26.4
10/18/2017,27.25,15256800,26.92,27.96,26.91
10/17/2017,26.63,7670161,26.68,27.055,26.4901
10/16/2017,26.67,13182820,27.25,27.675,26.39
10/13/2017,27.36,24866120,26.85,27.67,26.8
10/12/2017,25.56,9992446,25.17,25.95,25.05
10/11/2017,25.2,9281157,24.83,25.28,24.45
10/10/2017,24.98,8099853,25.38,25.44,24.72
10/9/2017,25.02,12919040,25.88,25.9,24.72
10/6/2017,26.05,8613176,26.4,26.43,25.912
10/5/2017,26.54,8112221,26.69,26.965,26.48
10/4/2017,26.46,7676247,26.23,26.8462,26.175
10/3/2017,26.32,11339780,26.28,26.62,25.79
10/2/2017,26.13,10335040,25.5,26.405,25.31
9/29/2017,25.66,8387922,25.5,25.88,25.46
9/28/2017,25.44,9410003,25.25,25.48,24.8
9/27/2017,25.19,12830270,24.47,25.55,24.45
9/26/2017,24.36,10468340,24.12,24.48,24.1
9/25/2017,24.05,12859860,23.75,24.1058,23.39
9/22/2017,23.83,20291850,23.45,24.07,23.16
9/21/2017,24.66,14647590,25.25,25.46,24.32
9/20/2017,25.79,12067650,25.82,26.4742,25.4089
9/19/2017,25.65,10733170,25.4,25.775,24.98
9/18/2017,25.53,12029580,25.3,25.88,24.9
9/15/2017,25.09,12623570,25.31,25.96,24.91
9/14/2017,25.61,15579150,26.53,26.53,25.07
9/13/2017,26.66,6783208,26.6,26.85,26.33
9/12/2017,26.66,10128760,26.9,26.94,26.01
9/11/2017,26.86,9591566,27.5,27.67,26.78
9/8/2017,26.96,13224280,27.48,27.6,26.51
9/7/2017,27.68,11403440,27.7,27.99,27.37
9/6/2017,27.51,10270590,27.42,28.19,27.2
9/5/2017,27.23,18997950,27.6,28.35,26.66
9/1/2017,26.99,10198480,26.93,27.4,26.72
8/31/2017,26.61,10980810,27.05,27.12,26.4
8/30/2017,26.85,13652380,25.9,26.99,25.7
8/29/2017,25.96,13753340,25,26.32,24.65
8/28/2017,25.3,7977454,25.03,25.575,24.96
8/25/2017,24.94,6923080,25.01,25.12,24.61
8/24/2017,24.81,9438225,24.9,25.34,24.6
8/23/2017,24.89,10306030,24.02,24.94,23.925
8/22/2017,24.25,14345330,23.55,24.47,23.52
8/21/2017,23.32,8773350,23.83,24.07,23.22
8/18/2017,23.7,10128200,23.92,24.0251,23.35
8/17/2017,23.75,12409470,24.41,24.79,23.71
8/16/2017,24.63,17194360,23.98,24.955,23.9
8/15/2017,23.71,9748848,23.44,24.07,23.34
8/14/2017,23.33,8156509,23.35,23.65,23.16
8/11/2017,23.16,10801950,23.57,23.85,22.94
8/10/2017,23.84,10968680,23.84,24.52,23.75
8/9/2017,24.08,9921577,23.82,24.45,23.78
8/8/2017,24.17,14079180,24.04,24.76,23.55
8/7/2017,24.19,12183120,24,24.49,23.95
8/4/2017,23.55,11082970,23.22,23.75,22.91
8/3/2017,22.97,9270154,22.76,23.31,22.615
8/2/2017,22.81,11387430,22.57,23,22.38
8/1/2017,22.72,14069960,23.52,23.56,22.63
7/31/2017,23.49,15343950,23.4,23.73,23.06
7/28/2017,22.98,34698750,24.48,24.5,22.79
7/27/2017,25,21422730,26,26.18,24.72
7/26/2017,26.2,48760140,26.55,27.44,25.68
